,Country,City,Date,Temperature(F),Cloud Density,Humidity,Wind(MPH),Latitude,Longitude
55,AR,Barrow,1569104602,51.79,59,52,13.22,-38.31,-60.23
56,IN,Vaini,1569104749,74.29,87,96,2.77,15.34,74.49
57,GA,Port-Gentil,1569104751,78.8,40,83,9.17,-0.72,8.78
58,TC,Cockburn Town,1569104752,87.8,40,66,5.82,21.46,-71.14
59,PT,Ribeira Grande,1569104531,71.6,40,73,9.17,38.52,-28.7
60,AR,Mar del Plata,1569104533,55.03,79,24,22.12,-46.43,-67.52
61,AO,Luanda,1569104755,73.4,40,88,6.93,-8.83,13.24
62,JP,Toba,1569104756,71.6,75,83,6.93,34.47,136.83
63,US,Boulder City,1569104757,84.99,1,11,5.82,35.98,-114.83
64,LK,Hambantota,1569104758,77.0,75,100,8.05,6.12,81.12
65,TM,Murgab,1569104760,73.4,0,40,6.93,37.5,61.97
66,AR,Ushuaia,1569104607,33.8,90,96,3.36,-54.81,-68.31
67,PL,Tabory,1569104762,55.99,1,88,6.29,53.89,19.53
68,NG,Naze,1569104763,75.55,92,93,4.36,5.43,7.07
69,CA,La Ronge,1569104764,60.8,40,55,5.82,55.1,-105.3
70,CL,Castro,1569104610,48.2,90,70,3.36,-42.48,-73.76
71,RU,Tiksi,1569104677,35.05,100,91,6.11,71.64,128.87
72,MX,Coahuayana,1569104561,87.07,17,63,2.17,18.62,-100.35
73,CL,Cochrane,1569104630,33.79,97,99,5.53,-47.25,-72.57
74,ET,Lebu,1569104567,59.0,75,87,5.82,8.96,38.73
75,RU,Talnakh,1569104595,37.4,75,93,29.08,69.49,88.39
76,AO,Namibe,1569104772,65.65,100,84,9.95,-15.19,12.15
77,ES,Villamartin,1569104773,70.0,75,82,8.05,36.86,-5.64
78,UA,Sofiyivka,1569104774,48.2,0,42,8.95,48.05,33.87
79,CA,Aklavik,1569104776,46.4,90,93,5.82,68.22,-135.01
80,PH,Dingle,1569104777,72.85,100,85,2.15,11.0,122.67
81,RU,Plastun,1569104778,41.53,84,95,5.39,44.76,136.29
82,MU,Bambous Virieux,1569104630,69.8,75,77,17.22,-20.34,57.76
83,IN,Yarada,1569104780,78.97,6,85,4.47,17.65,83.27
84,NA,Gobabis,1569104782,68.0,0,12,6.93,-22.45,18.97
85,LY,Jalu,1569104783,78.25,0,48,11.01,29.03,21.55
86,US,Hilo,1569104559,86.0,1,62,8.05,19.71,-155.08
87,ID,Kawalu,1569104785,65.83,100,95,3.04,-7.38,108.21
88,MZ,Cuamba,1569104786,70.33,0,42,4.25,-14.8,36.54
89,BR,Areia Branca,1569104788,78.8,20,69,9.17,-10.76,-37.31
90,RU,Lugovoy,1569104789,38.29,67,94,8.41,59.72,65.88
91,RU,Tyukhtet,1569104790,41.71,100,95,3.04,56.54,89.31
92,TT,San Fernando,1569104791,81.0,20,88,8.05,10.28,-61.46
93,MX,La Paz,1569104633,89.6,75,55,9.17,24.15,-110.32
94,BR,Arraial do Cabo,1569104794,73.4,90,94,10.29,-22.97,-42.02
95,CN,Cangzhou,1569104795,60.97,0,90,5.84,38.3,116.85
96,VU,Isangel,1569104797,80.6,75,54,16.11,-19.55,169.27
97,CD,Bandundu,1569104798,73.93,100,89,3.83,-3.32,17.38
98,PE,Ilabaya,1569104799,69.25,19,43,8.25,-17.42,-70.51
99,CA,Geraldton,1569104543,66.2,90,93,10.29,49.72,-86.95
100,PT,Saldanha,1569104801,61.33,100,91,4.23,41.42,-6.55
101,CA,Revelstoke,1569104803,64.4,75,59,8.05,50.99,-118.19
102,RU,Ostrovnoy,1569104463,34.69,25,83,6.93,68.05,39.51
103,US,Saint Paul,1569104763,81.0,75,74,13.87,44.95,-93.1
104,CA,West Bay,1569104806,66.99,75,63,6.93,49.34,-123.21
105,ET,Gambela,1569104807,70.51,100,72,4.97,8.25,34.59
106,ID,Sibolga,1569104808,80.41,67,85,15.3,1.74,98.78
107,AU,Olinda,1569104809,51.01,0,70,8.05,-37.84,145.39
108,AR,Rawson,1569104811,57.73,0,20,18.16,-43.3,-65.11
109,BR,Unai,1569104756,87.43,13,18,6.58,-16.36,-46.91
110,US,Roswell,1569104813,69.8,90,83,11.41,33.39,-104.52
111,US,Port Elizabeth,1569104562,84.0,1,47,5.82,39.31,-74.98
112,MV,Eydhafushi,1569104815,82.21,100,80,12.26,5.1,73.07
113,NC,Poya,1569104817,69.61,0,70,12.66,-21.35,165.16
114,CN,Jingdezhen,1569104818,60.43,1,97,5.19,29.29,117.2
115,CA,Mayo,1569104820,59.0,75,58,5.82,63.59,-135.9
116,RU,Alekseyevsk,1569104821,41.89,0,93,7.23,57.84,108.35
117,GB,Broome,1569104822,64.99,0,82,8.05,52.47,1.45
118,MX,Guerrero Negro,1569104823,69.97,0,77,12.82,27.97,-114.04
119,AU,Hobart,1569104453,51.01,20,65,11.41,-42.88,147.33
120,PH,Ligayan,1569104825,82.21,58,73,7.09,4.65,119.47
121,RU,Polovinnoye,1569104827,48.01,100,96,15.35,54.79,65.99
122,PG,Samarai,1569104828,74.65,99,94,2.48,-10.62,150.67
123,US,Bethel,1569104456,44.6,90,100,18.34,60.79,-161.76
124,IN,Port Blair,1569104830,81.49,100,81,14.09,11.67,92.75
125,ES,Muros,1569104832,66.99,75,93,13.87,42.77,-9.06
126,MU,Mahebourg,1569104833,69.8,75,77,17.22,-20.41,57.7
127,US,Millinocket,1569104834,71.01,1,46,5.14,45.66,-68.71
128,ZA,Richards Bay,1569104835,71.59,33,84,5.39,-28.77,32.06
129,NO,Longyearbyen,1569104836,33.8,40,69,8.05,78.22,15.63
130,EC,Puerto Ayora,1569104585,77.0,40,53,14.99,-0.74,-90.35
131,ES,Rota,1569104839,71.6,40,88,3.36,36.62,-6.36
132,GB,Newport,1569104622,66.99,100,72,11.41,51.59,-3.0
133,TM,Gazanjyk,1569104841,72.49,0,63,21.92,39.24,55.52
134,ID,Bambanglipuro,1569104842,72.49,96,87,6.89,-7.95,110.28
135,GL,Nanortalik,1569104843,41.17,100,92,3.24,60.14,-45.24
136,GL,Paamiut,1569104844,39.55,100,88,6.4,61.99,-49.67
137,FR,Bayonne,1569104846,78.8,0,57,8.05,43.49,-1.48
138,PF,Rikitea,1569104535,74.29,44,88,7.76,-23.12,-134.97
139,KZ,Aksu,1569104848,51.8,0,43,13.42,52.04,76.93
140,AU,Bluff,1569104576,62.41,0,82,7.67,-23.58,149.07
141,US,Kapaa,1569104586,87.8,20,62,18.34,22.08,-159.32
142,CA,Norman Wells,1569104851,55.4,75,82,3.36,65.28,-126.83
143,US,Lompoc,1569104723,87.01,1,47,16.11,34.64,-120.46
144,RU,Vostok,1569104854,40.09,73,99,3.11,46.45,135.83
145,OM,Salalah,1569104855,78.8,75,78,3.36,17.01,54.1
146,IS,Hofn,1569104856,37.03,97,93,2.08,64.25,-15.21
147,CF,Paka,1569104857,70.69,100,83,0.36,4.15,15.03
148,VG,Road Town,1569104742,86.0,40,70,5.82,18.42,-64.62
149,CN,Hami,1569104860,67.09,0,20,4.25,42.84,93.51
150,MM,Falam,1569104861,63.31,100,96,1.83,22.91,93.68
151,JP,Gotsu,1569104862,71.41,100,93,17.27,35.01,132.22
152,RU,Khandyga,1569104863,31.09,92,91,0.78,62.65,135.58
153,RU,Bagan,1569104864,48.73,65,62,9.22,54.1,77.67
154,ID,Meulaboh,1569104866,80.05,100,82,6.33,4.14,96.13
155,RU,Zhigalovo,1569104867,42.79,58,97,2.35,54.81,105.15
156,AU,Esperance,1569104627,48.2,90,93,8.05,-33.86,121.89
157,AR,Bahia Blanca,1569104869,58.99,0,30,12.28,-38.72,-62.27
158,NP,Pokhara,1569104870,51.43,14,77,4.21,28.21,83.99
159,GL,Qaqortoq,1569104871,39.2,100,93,1.32,60.72,-46.03
160,CR,Miramar,1569104873,72.0,75,94,4.7,10.09,-84.73
161,IN,Bikramganj,1569104874,80.41,63,77,3.49,25.22,84.27
162,RU,Amazar,1569104875,40.27,15,93,2.57,53.86,120.88
163,IR,Susangerd,1569104876,82.4,0,54,2.24,31.56,48.19
164,CL,Coihaique,1569104878,48.2,40,49,8.05,-45.58,-72.07
165,ZA,Carnarvon,1569104662,57.91,100,29,15.35,-30.97,22.13
166,BR,Passo de Camaragibe,1569104880,73.4,20,88,5.82,-9.24,-35.49
167,NZ,Dunedin,1569104845,52.0,10,72,8.01,-45.87,170.5
168,CA,Iqaluit,1569104544,39.2,75,74,23.04,63.75,-68.52
169,IN,Hoshangabad,1569104883,72.67,100,96,4.54,22.75,77.72
170,AU,Cooma,1569104884,48.2,32,57,9.17,-36.24,149.13
171,US,Makakilo City,1569104885,88.0,75,65,13.87,21.35,-158.09
172,RU,Parfenyevo,1569104887,35.77,95,94,4.09,58.48,43.41
173,ML,Koulikoro,1569104888,75.2,20,94,3.36,12.86,-7.56
174,RU,Nikolskoye,1569104566,44.6,75,75,11.18,59.7,30.79
175,NA,Karasburg,1569104890,48.73,97,81,15.52,-28.01,18.75
176,CA,Hamilton,1569104891,84.0,20,69,10.29,43.26,-79.87
177,GP,Baillif,1569104893,84.2,35,74,6.93,16.02,-61.75
178,AU,Emerald,1569104894,69.8,0,73,13.87,-23.53,148.16
179,US,Avera,1569104895,88.0,1,28,6.93,33.19,-82.53
180,CF,Rafai,1569104896,67.81,60,96,1.32,4.95,23.92
181,TZ,Sola,1569104652,71.77,52,61,3.51,-3.17,33.8
182,BR,Mineiros,1569104898,82.21,77,48,10.96,-17.57,-52.55
183,IN,Pathalgaon,1569104900,73.93,4,89,1.68,22.56,83.46
184,BF,Sindou,1569104901,73.75,55,93,6.76,10.66,-5.16
185,MX,Tomatlan,1569104902,84.73,31,76,12.3,19.93,-105.25
186,BR,Macae,1569104651,75.2,90,83,4.7,-22.37,-41.79
187,IT,Anzio,1569104884,70.0,20,83,3.36,41.45,12.63
188,TR,Susurluk,1569104905,60.01,20,58,18.34,39.91,28.16
189,DK,Stubbekobing,1569104906,55.0,0,100,4.32,54.89,12.04
190,RU,Troitskoye,1569104908,50.17,87,66,4.88,52.98,84.68
191,UY,Chuy,1569104624,59.89,0,62,9.19,-33.69,-53.46
192,US,Watertown,1569104910,78.8,1,64,21.92,44.9,-97.12
193,MD,Kamenka,1569104911,53.01,100,70,9.4,48.03,28.7
194,ZA,Bredasdorp,1569104608,51.8,23,81,8.05,-34.53,20.04
195,ES,Barcelona,1569104914,70.0,40,83,3.36,41.38,2.18
196,ES,Codo,1569104915,70.0,90,83,5.82,41.33,-0.7
197,DK,Hvide Sande,1569104916,48.2,90,93,5.75,56.01,8.13
198,BR,Santa Maria,1569104917,87.8,0,23,5.82,-16.02,-48.01
199,ES,Los Llanos de Aridane,1569104918,73.4,0,78,2.24,28.66,-17.92
200,PT,Praia da Vitoria,1569104920,66.2,20,82,11.99,38.73,-27.07
201,PH,Santander,1569104921,75.2,40,78,2.84,9.42,123.33
202,NZ,Kaitangata,1569104922,54.0,6,62,4.0,-46.28,169.85
203,RU,Yar-Sale,1569104589,34.33,0,80,11.34,66.83,70.83
204,KI,Butaritari,1569104537,85.09,0,60,9.48,3.07,172.79
205,US,Pacific Grove,1569104925,91.99,1,46,8.05,36.62,-121.92
206,PE,Pisco,1569104926,71.6,0,30,5.82,-13.71,-76.2
207,BR,Cidreira,1569104928,58.81,0,62,5.91,-30.17,-50.22
208,RU,Chokurdakh,1569104623,25.69,5,84,5.61,70.62,147.9
209,BR,Alegrete,1569104930,61.15,0,62,3.33,-29.79,-55.79
210,NL,Goedereede,1569104931,66.2,0,59,20.8,51.82,3.98
211,US,Hurricane,1569104641,82.0,1,14,8.05,37.18,-113.29
212,CA,Torbay,1569104933,46.99,90,81,12.75,47.66,-52.73
213,SA,Riyadh,1569104935,82.4,0,26,5.06,24.63,46.72
214,MR,Nouadhibou,1569104936,71.6,0,78,13.87,20.93,-17.03
215,RU,Kodinsk,1569104937,39.55,33,97,6.38,58.6,99.18
216,NO,Tynset,1569104938,33.8,13,100,1.92,62.28,10.78
217,IR,Zabol,1569104718,71.6,0,30,10.36,31.03,61.49
218,ZA,Kruisfontein,1569104940,56.83,100,83,17.98,-34.0,24.73
219,VN,Quang Ngai,1569104941,68.17,61,98,2.08,15.12,108.8
220,PG,Vanimo,1569104943,79.87,66,75,7.94,-2.67,141.3
221,ZM,Mkushi,1569104944,62.59,0,31,5.77,-13.61,29.4
222,RU,Lavrentiya,1569104945,30.91,63,68,2.71,65.58,-170.99
223,EG,Asyut,1569104946,78.8,0,54,12.75,27.18,31.19
224,BR,Ponta do Sol,1569104948,78.79,96,46,1.32,-20.63,-46.0
225,PF,Tautira,1569104949,84.2,40,70,16.11,-17.73,-149.15
226,IT,Taormina,1569104950,75.2,40,83,4.7,37.85,15.29
227,EG,Luxor,1569104951,84.2,0,37,3.36,25.7,32.65
228,CN,Ganzhou,1569104953,61.15,0,71,5.01,25.86,114.93
229,ID,Sorong,1569104954,73.03,75,96,4.7,-0.86,131.25
230,PF,Moerai,1569104955,72.13,0,74,10.83,-22.43,-151.33
231,RU,Tura,1569104956,35.77,100,79,14.38,64.27,100.22
232,AU,New Norfolk,1569104563,51.01,20,65,11.41,-42.78,147.06
233,US,Wilmington,1569104958,84.0,1,32,1.48,39.75,-75.55
234,GY,Georgetown,1569104802,84.2,75,79,11.41,6.8,-58.16
235,GR,Saint George,1569104961,55.4,0,82,3.49,39.45,22.34
236,SO,Bandarbeyla,1569104962,75.91,85,74,12.48,9.49,50.81
237,US,Polson,1569104963,63.0,75,59,8.05,47.69,-114.16
238,IN,Naliya,1569104964,83.47,98,81,4.65,23.26,68.83
239,PT,Vila Franca do Campo,1569104965,71.01,20,77,4.7,37.72,-25.43
240,RU,Shirokiy,1569104967,37.99,100,75,9.55,53.87,39.17
241,SB,Honiara,1569104968,82.4,40,78,17.22,-9.43,159.96
242,AU,Yulara,1569104969,48.2,0,42,10.29,-25.24,130.99
243,CL,San Felipe,1569104970,73.0,0,27,1.99,-32.75,-70.73
244,HN,San Cristobal,1569104971,80.41,51,68,2.95,14.68,-86.92
245,CA,Thurso,1569104973,80.01,20,57,8.05,45.6,-75.25
246,MR,Atar,1569104974,101.65,95,18,7.81,20.52,-13.05
247,JP,Sakaiminato,1569104975,71.6,90,88,21.92,35.55,133.23
248,RU,Kedrovyy,1569104976,37.4,0,86,3.94,56.17,91.82
249,PH,Dicabisagan,1569104977,70.51,100,97,1.57,17.08,122.42
250,NZ,Ahipara,1569104978,57.01,0,72,10.25,-35.17,173.16
251,SA,Buraydah,1569104980,82.4,0,34,2.24,26.33,43.97
252,JP,Yamada,1569104981,71.01,75,88,2.24,36.58,137.08
253,FO,Vagur,1569104982,54.67,4,72,8.55,61.47,-6.81
254,QA,Doha,1569104983,89.6,0,79,5.82,25.29,51.53
255,RU,Aleksandrov Gay,1569104984,47.83,0,63,10.38,50.14,48.57
256,RU,Charyshskoye,1569104986,46.21,100,77,3.18,51.4,83.56
257,US,Fallon,1569104987,59.0,75,67,11.41,46.84,-105.12
258,RU,Tinskoy,1569104988,42.07,0,89,5.17,56.15,96.92
259,CN,Yangmei,1569104989,70.69,91,69,6.24,21.55,110.61
260,US,Fairbanks,1569104990,41.0,90,86,12.75,64.84,-147.72
261,BR,Santa Isabel do Rio Negro,1569104992,90.31,54,55,2.21,-0.41,-65.02
262,NG,Adeje,1569104993,78.79,99,86,7.25,5.68,5.76
263,MV,Kulhudhuffushi,1569104994,81.85,100,81,13.24,6.62,73.07
264,RU,Cherskiy,1569104995,30.73,100,86,10.02,68.75,161.3
265,PE,La Libertad,1569104996,59.0,40,44,10.29,-16.38,-71.56
266,BB,Bathsheba,1569104998,80.6,75,83,29.97,13.22,-59.52
267,DZ,Adrar,1569104999,91.4,0,13,6.91,27.87,-0.29
268,AU,Charters Towers,1569105000,61.51,0,90,7.52,-20.07,146.27
269,ID,Bontang,1569105002,82.13,27,73,1.54,0.12,117.47
270,AR,Necochea,1569105004,50.0,10,77,5.01,-38.55,-58.74
271,RU,Leningradskiy,1569104674,31.63,100,93,20.4,69.38,178.42
272,MY,Sandakan,1569105009,77.0,75,100,2.24,5.84,118.12
273,PH,San Quintin,1569105011,72.77,45,77,4.47,17.54,120.52
274,RU,Komsomolskiy,1569105012,28.31,0,92,5.1,67.55,63.78
275,AU,Batemans Bay,1569105013,63.0,2,66,7.0,-35.71,150.18
276,GR,Paralimni,1569105014,62.01,0,67,0.69,40.99,23.67
277,CA,Port Hardy,1569105015,59.0,90,82,18.34,50.7,-127.42
278,CA,Marystown,1569105017,46.13,0,71,9.26,47.17,-55.16
279,PH,Candelaria,1569105018,75.99,100,89,2.82,13.93,121.42
280,BR,Boa Vista,1569104962,91.4,20,46,6.93,2.82,-60.67
281,BR,Rio Grande,1569105020,57.99,0,66,3.36,-32.03,-52.1
282,ZA,Vryburg,1569105021,61.79,0,18,11.1,-26.96,24.73
283,ID,Tual,1569105023,76.73,50,84,11.16,-5.67,132.75
284,GL,Nuuk,1569105024,39.0,98,93,13.0,64.17,-51.74
285,MX,Constitucion,1569104653,78.8,75,31,4.7,23.99,-104.67
286,VU,Luganville,1569105026,80.6,75,54,16.11,-15.51,167.18
287,FO,Klaksvik,1569104657,48.2,0,100,4.7,62.23,-6.59
288,GL,Narsaq,1569105028,39.2,98,93,2.01,60.91,-46.05
289,RU,Staryy Nadym,1569105029,31.91,0,88,10.98,65.61,72.68
290,GF,Cayenne,1569105006,82.4,0,78,11.41,4.94,-52.33
291,ID,Amuntai,1569105032,81.23,87,69,1.7,-2.42,115.25
292,PL,Wegrow,1569105033,48.0,36,52,6.62,52.4,22.02
293,AU,Bundaberg,1569105034,75.0,40,60,10.29,-24.87,152.35
294,NA,Walvis Bay,1569105035,57.99,82,82,3.36,-22.95,14.51
295,PH,Pundaguitan,1569105037,81.05,66,78,5.79,6.37,126.17
296,MN,Bulgan,1569105038,51.71,19,57,2.77,48.81,103.53
297,NZ,Tuatapere,1569105039,55.0,0,74,3.0,-46.13,167.69
298,SD,Marabba,1569105040,79.61,100,73,10.0,12.35,32.18
299,BR,Vilhena,1569105007,73.4,75,94,6.93,-12.74,-60.15
300,BR,Coruripe,1569105043,67.73,4,95,5.82,-10.12,-36.18
301,RU,Bilibino,1569105044,23.81,100,85,3.65,68.06,166.44
302,JP,Hachinohe,1569105045,63.0,75,77,3.36,40.47,141.48
303,SD,Umm Kaddadah,1569105046,82.49,21,55,13.38,13.6,26.69
304,PT,Lagoa,1569105047,70.0,75,100,12.75,37.14,-8.45
305,BR,Mafra,1569105048,48.99,100,98,1.99,-26.12,-49.8
306,ML,Bougouni,1569105050,72.77,17,87,4.05,11.42,-7.49
307,NG,Kaura Namoda,1569105051,79.43,0,62,8.3,12.59,6.58
308,US,Nantucket,1569105052,72.0,1,77,5.82,41.28,-70.1
309,CA,Clyde River,1569105053,32.0,90,97,25.28,70.47,-68.59
310,RU,Terney,1569105055,52.97,6,68,6.17,45.05,136.61
311,NA,Keetmanshoop,1569105056,57.2,33,62,13.87,-26.57,18.15
312,ID,Karangasem,1569105057,76.91,79,62,5.41,-6.7,108.49
313,RU,Saskylakh,1569105058,37.49,66,94,9.28,71.97,114.09
314,RU,Berdigestyakh,1569105059,39.29,100,96,5.46,62.1,126.7
315,RU,Yashkul,1569105061,50.09,9,66,13.51,46.17,45.34
316,BR,Anajatuba,1569105062,77.63,0,78,8.1,-3.26,-44.62
317,CN,Pengcheng,1569105063,67.37,0,50,3.96,36.43,114.17
318,BN,Victoria,1569105025,82.4,75,83,4.7,5.28,115.24
319,BE,Meerhout,1569105065,66.2,0,51,5.82,51.13,5.08
320,RU,Senno,1569105066,48.2,62,87,8.95,57.76,27.95
321,BD,Rajapur,1569105068,80.87,95,81,1.79,22.57,90.14
322,US,Ketchikan,1569104622,57.2,90,93,12.75,55.34,-131.65
323,VN,Dong Xoai,1569104916,73.39,100,97,0.89,11.53,106.92
324,PE,Santiago de Chuco,1569105071,51.17,97,88,2.1,-8.15,-78.17
325,CA,Yarmouth,1569105007,66.0,75,72,6.93,43.84,-66.12
326,UY,Dolores,1569105073,56.39,0,74,4.29,-33.53,-58.22
327,US,Cedar City,1569104411,66.99,1,19,5.82,37.68,-113.06
328,US,Laurel,1569105076,84.99,1,54,8.05,39.1,-76.85
329,ZA,Umkomaas,1569105077,71.01,64,88,9.93,-30.21,30.8
330,NO,Mehamn,1569105078,39.2,75,86,16.11,71.03,27.85
331,RU,Chekhov,1569105079,41.0,90,86,8.95,55.14,37.45
332,US,Kodiak,1569104644,79.0,90,78,18.34,39.95,-94.76
333,AU,Nelson Bay,1569105082,66.0,100,88,6.93,-32.72,152.14
334,DE,Barth,1569105083,51.8,0,100,3.36,54.37,12.73
335,ZA,Springbok,1569105084,49.73,9,95,5.08,-29.67,17.88
336,GW,Bubaque,1569105086,79.79,100,86,14.23,11.28,-15.83
337,LR,Buchanan,1569104568,77.0,75,94,9.98,5.88,-10.05
338,GF,Grand-Santi,1569105088,74.39,61,96,2.82,4.27,-54.38
339,PL,Slawno,1569105089,53.01,0,93,4.7,52.84,16.56
340,US,Fortuna,1569105090,81.0,20,72,14.99,40.6,-124.16
341,RU,Myaundzha,1569105092,35.51,93,88,1.34,63.05,147.18
342,PH,Tagusao,1569105093,80.33,100,71,1.59,9.19,117.81
343,TR,Ercis,1569105094,53.6,20,58,2.24,39.03,43.36
344,KE,Maua,1569105095,49.55,63,80,3.56,0.23,37.94
345,US,Blackfoot,1569105096,62.6,75,33,13.87,43.19,-112.35
346,MU,Grand Gaube,1569105098,69.8,75,77,17.22,-20.01,57.66
347,PY,San Patricio,1569105099,56.75,0,61,7.07,-26.98,-56.83
348,DK,Liseleje,1569105100,50.0,0,100,9.1,56.01,11.96
349,BR,Mozarlandia,1569105101,93.29,77,22,3.96,-14.74,-50.57
350,GF,Sinnamary,1569105103,81.41,0,83,21.65,5.38,-52.96
351,RU,Ekhabi,1569105104,54.23,99,69,7.65,53.51,142.97
352,US,Kenai,1569105105,54.0,90,71,3.36,60.55,-151.26
353,RU,Ust-Nera,1569105106,34.43,78,64,2.44,64.57,143.24
354,BR,Guia Lopes da Laguna,1569105107,79.43,1,34,10.2,-21.46,-56.11
355,ZW,Kwekwe,1569105109,58.37,0,23,5.23,-18.93,29.81
356,RU,Pevek,1569105110,34.43,100,96,14.61,69.7,170.27
357,AU,Mount Gambier,1569105111,42.8,75,93,11.41,-37.83,140.78
358,US,Ukiah,1569105112,93.99,1,14,5.5,39.15,-123.21
359,OM,Nizwa,1569105113,74.39,0,50,1.32,22.93,57.53
360,MY,George Town,1569105115,80.6,75,94,3.36,5.42,100.33
361,JP,Gushikawa,1569105116,80.6,40,88,14.99,26.35,127.87
362,ES,Aras,1569105117,70.0,20,72,5.82,42.56,-2.36
363,EG,Marsa Matruh,1569105118,75.2,40,69,11.41,31.35,27.25
364,RU,Ola,1569105120,46.13,100,86,4.29,59.58,151.3
365,BR,Prainha,1569105121,78.35,47,77,4.03,-1.8,-53.48
366,CL,Coquimbo,1569105122,55.4,0,76,14.99,-29.95,-71.34
367,TR,Gorele,1569105123,59.0,75,67,6.93,41.03,39.0
368,UA,Polyanka,1569105125,54.23,100,71,14.45,50.26,27.69
369,KZ,Zholymbet,1569105126,61.61,90,37,17.18,51.74,71.71
370,US,Vardo,1569105127,88.0,20,42,6.93,39.62,-77.74
371,NC,Noumea,1569104925,75.2,20,47,12.75,-22.28,166.46
372,RU,Kargasok,1569105129,36.77,100,79,5.03,59.06,80.87
373,MX,Cabo San Lucas,1569104866,88.0,75,70,19.46,22.89,-109.91
374,MN,Darhan,1569105132,52.79,33,72,3.94,49.49,105.92
